"","GOID","TERM"
"107","GO:0000956","nuclear-transcribed mRNA catabolic process"
"108","GO:0000956","nuclear-transcribed mRNA catabolic process"
"109","GO:0000956","nuclear-transcribed mRNA catabolic process"
"110","GO:0000956","nuclear-transcribed mRNA catabolic process"
"111","GO:0000956","nuclear-transcribed mRNA catabolic process"
"112","GO:0000956","nuclear-transcribed mRNA catabolic process"
"113","GO:0000956","nuclear-transcribed mRNA catabolic process"
"114","GO:0000956","nuclear-transcribed mRNA catabolic process"
"115","GO:0000956","nuclear-transcribed mRNA catabolic process"
"116","GO:0000956","nuclear-transcribed mRNA catabolic process"
"117","GO:0000956","nuclear-transcribed mRNA catabolic process"
"118","GO:0000956","nuclear-transcribed mRNA catabolic process"
"119","GO:0000956","nuclear-transcribed mRNA catabolic process"
"120","GO:0000956","nuclear-transcribed mRNA catabolic process"
"121","GO:0000956","nuclear-transcribed mRNA catabolic process"
"122","GO:0000956","nuclear-transcribed mRNA catabolic process"
"123","GO:0000956","nuclear-transcribed mRNA catabolic process"
"124","GO:0000956","nuclear-transcribed mRNA catabolic process"
"125","GO:0000956","nuclear-transcribed mRNA catabolic process"
"126","GO:0000956","nuclear-transcribed mRNA catabolic process"
"127","GO:0000956","nuclear-transcribed mRNA catabolic process"
"128","GO:0000956","nuclear-transcribed mRNA catabolic process"
"129","GO:0000956","nuclear-transcribed mRNA catabolic process"
"130","GO:0000956","nuclear-transcribed mRNA catabolic process"
"131","GO:0000956","nuclear-transcribed mRNA catabolic process"
"132","GO:0000956","nuclear-transcribed mRNA catabolic process"
"133","GO:0000956","nuclear-transcribed mRNA catabolic process"
"134","GO:0000956","nuclear-transcribed mRNA catabolic process"
"135","GO:0000956","nuclear-transcribed mRNA catabolic process"
"136","GO:0000956","nuclear-transcribed mRNA catabolic process"
"137","GO:0000956","nuclear-transcribed mRNA catabolic process"
"138","GO:0000956","nuclear-transcribed mRNA catabolic process"
"139","GO:0000956","nuclear-transcribed mRNA catabolic process"
"140","GO:0000956","nuclear-transcribed mRNA catabolic process"
"141","GO:0000956","nuclear-transcribed mRNA catabolic process"
"142","GO:0000956","nuclear-transcribed mRNA catabolic process"
"143","GO:0000956","nuclear-transcribed mRNA catabolic process"
"144","GO:0000956","nuclear-transcribed mRNA catabolic process"
"145","GO:0000956","nuclear-transcribed mRNA catabolic process"
"146","GO:0000956","nuclear-transcribed mRNA catabolic process"
"147","GO:0000956","nuclear-transcribed mRNA catabolic process"
"148","GO:0000956","nuclear-transcribed mRNA catabolic process"
"149","GO:0000956","nuclear-transcribed mRNA catabolic process"
"150","GO:0000956","nuclear-transcribed mRNA catabolic process"
"151","GO:0000956","nuclear-transcribed mRNA catabolic process"
"152","GO:0000956","nuclear-transcribed mRNA catabolic process"
"153","GO:0000956","nuclear-transcribed mRNA catabolic process"
"154","GO:0000956","nuclear-transcribed mRNA catabolic process"
"155","GO:0000956","nuclear-transcribed mRNA catabolic process"
"156","GO:0000956","nuclear-transcribed mRNA catabolic process"
"157","GO:0000956","nuclear-transcribed mRNA catabolic process"
"158","GO:0000956","nuclear-transcribed mRNA catabolic process"
"159","GO:0000956","nuclear-transcribed mRNA catabolic process"
"160","GO:0000956","nuclear-transcribed mRNA catabolic process"
"161","GO:0000956","nuclear-transcribed mRNA catabolic process"
"162","GO:0000956","nuclear-transcribed mRNA catabolic process"
"163","GO:0000956","nuclear-transcribed mRNA catabolic process"
"164","GO:0000956","nuclear-transcribed mRNA catabolic process"
"165","GO:0000956","nuclear-transcribed mRNA catabolic process"
"166","GO:0000956","nuclear-transcribed mRNA catabolic process"
"167","GO:0000956","nuclear-transcribed mRNA catabolic process"
